Species,Stock,M_method,Longevity,Mmax,Tmat,Wmat,Sex,WAge0,WAge1,WAge2,WAge3,WAge4,WAge5,WAge6,WAge7,WAge8,WAge9,WAge10,WAge11,WAge12,WAge13,WAge14,WAge15,Linf,K,t0,LAge0,LAge1,LAge2,LAge3,LAge4,LAge5,LAge6,LAge7,LAge8,LAge9,LAge10,LAge11,LAge12,LAge13,LAge14,LAge15
イカナゴ,瀬戸内海東部系群,田内・田中,3,0.83,1,2,B,0.36,2,5.75,7,,,,,,,,,,,,,,,,,82.5,105,125,,,,,,,,,,,,
キンメダイ,太平洋,田内・田中,26,0.096153846,5,624.878827,M,,182.7363873,277.0722234,384.7368753,501.855915,624.878827,750.7230302,876.8201479,1001.105671,1121.978005,1238.243123,1349.054747,1453.855857,1552.32471,1644.326893,1729.873886,492.1,0.108,-3.67,,194.924775,225.3473171,252.6554304,277.1679465,299.1710574,318.921657,336.6503402,352.5640955,366.8487215,379.6709959,391.1806233,401.5119824,410.7856955,419.1100363,426.5821943
キンメダイ,太平洋,田内・田中,26,0.096153846,5,693.9886592,F,,161.1553017,267.2840972,394.7771878,538.6487839,693.9886592,856.3183009,1021.758791,1187.083383,1349.702297,1507.610412,1659.317369,1803.772153,1940.289319,2068.480833,2188.195441,531.7,0.108,-3.02,,187.2601685,222.521302,254.1726684,282.5838084,308.0864317,330.9782902,351.5266541,369.9714325,386.5279747,401.3895839,414.7297744,426.7042975,437.45296,447.101256,455.7618327
ゴマサバ,太平洋系群,田内・田中,6,0.4,2,402.6,B,123.4,278.9,402.6,483.5,609.9,,,,,,,,,,,,,,,212.4,282.8,317.4,335.3,359.8,,,,,,,,,,,
ゴマサバ,東シナ海,田内・田中,6,0.4,2,463.1691632,B,,313.7942329,463.1691632,648.7775445,786.3414728,872.1812764,,,,,,,,,,,,,,,282,320.06,357.41,380.07,393.82,,,,,,,,,,
ソウハチ,日本海南西部,,,,,,M,,1.3,20.5,60.5,109.6,157.9,,,,,,,,,,,334,0.314,-0.279,,67.7,139.4,191.9,230.2,258.2,,,,,,,,,,
ソウハチ,日本海南西部,田内・田中,8,0.3,3,140,F,,1,22.1,80.1,173.4,292.4,426.7,566.9,,,,,,,,,516,0.197,-0.361,,61,142.4,209.2,264.1,309.1,346.1,376.5,,,,,,,,
トラフグ,日本海・東シナ海・瀬戸内海系群,田内・田中,10,0.25,3,2084,M,397,1216,1521,2084,2469,2803,3618,,,,,,,,,,534.3,0.648,-0.13,,273,392,439,482,512,535,584,,,,,,,,
トラフグ,日本海・東シナ海・瀬戸内海系群,田内・田中,10,0.25,3,2360,F,427,1264,1782,2360,2833,3243,4209,,,,,,,,,,559.8,0.598,-0.144,,273,392,439,482,512,535,584,,,,,,,,
トラフグ,伊勢・三河湾,田内・田中,10,0.25,3,3171,B,400,1400,2900,3171,3592,,,,,,,,,,,,704.6,0.151,-1.198,,260,400,480,515,534,,,,,,,,,,
ヒラメ,瀬戸内海,,,,3,1660,B,107,349,848,1660,2651,3853,,,,,,,,,,,,,,482.1218454,549.1333318,600.9083908,640.9326599,671.8893518,695.845152,714.3927774,728.7603623,739.8954393,748.5294523,755.227344,,,,,
ヒラメ,瀬戸内海,田内・田中,8,0.3125,3,823.5950296,M,98.51441328,200.2189635,485.1134379,823.5950296,1162.737606,1471.463184,1736.278075,1954.720965,2130.164963,2268.461017,2376.027465,2458.887606,2522.26719,2570.495264,,,627.8,0.29,-0.96,427.2000122,477.4312143,515.0839906,543.3081122,564.4646144,580.323304,592.2108095,601.1215575,607.8009597,612.8077687,616.5608196,,,,,
ヒラメ,瀬戸内海,田内・田中,8,0.3125,3,1851.262212,F,94.49492461,266.7106046,905.422973,1851.262212,2958.841996,4100.346811,5188.151917,6172.536788,7032.010345,7763.453758,8374.378942,8877.569606,9287.683481,9619.268176,,,929.4,0.24,-0.59,537.0436786,620.8354493,686.7327909,738.5572075,779.3140892,811.367,836.5747454,856.3991671,871.9899189,884.251136,893.8938683,,,,,
ヒラメ,太平洋北部系群,田内・田中,11,0.2291,3,943.1,M,,277.8,566.5,943.1,1384.9,1868.4,2372.4,2879.5,3376.4,3853.1,4303.1,,,,,,883,0.14,-1.94,440.82,498.58,548.8,592.46,630.42,663.42,692.1,717.04,,,,,,,,
ヒラメ,太平洋北部系群,田内・田中,11,0.2291,4,2582.4,F,,302.4,849,1636.7,2582.4,3603.8,4634.1,5625.6,6548.2,7385.5,8131.1,,,,,,992,0.19,-0.96,524.54,605.43,672.32,727.64,773.38,811.21,842.5,868.37,,,,,,,,
ヒラメ,日本海中西部・東シナ海,田内・田中,12,0.208,3,978.06947,M,,256.03213,589.29393,978.06947,1363.84934,1712.72443,2010.4086,2254.83583,2450.31755,2603.79091,2722.70295,2813.96158,2883.51201,,,,664.4,0.2914,-1.1196,464.3769,514.9394,552.7205,580.9512,602.0457,617.8078,629.5855,638.386,644.9619,649.8756,,,,,,
ヒラメ,日本海中西部・東シナ海,田内・田中,12,0.208,3,1510.28913,F,,268.49141,779.6574,1510.28913,2369.64809,3273.87626,4160.35825,4988.74482,5736.96426,6396.17218,6966.24617,7452.30137,7862.21636,,,,949.7,0.212,-0.8691,531.5263,611.4122,676.0371,728.3164,770.6085,804.8213,832.4982,854.8879,873.0004,887.6527,,,,,,
ブリ,日本,田内・田中,7,0.3,3,8113,M,1025,2449,6029,8113,,,,,,,,,,,,,914.12,0.49,-0.45,406.3839,603.068,723.561,797.379,,,,,,,,,,,,
ブリ,日本,田内・田中,7,0.3,3,7117,F,875,2455,4623,7117,,,,,,,,,,,,,1329.15,0.19,-0.95,366.8802,533.392,671.091,784.962,,,,,,,,,,,,
ホッケ,道北系群,田内・田中,8.5,0.295,2,220.437443,M,107.0185901,220.437443,304.1023923,346.9699867,365.5108741,372.9819798,375.9088625,,,,,,,,,,,,,,206.0785428,251.7196319,275.1713821,285.4035172,289.5466641,291.1732283,291.8040298,,,,,,,,
ホッケ,道北系群,田内・田中,8.5,0.295,2,223.4535308,F,105.439737,223.4535308,322.7370684,380.7468905,408.8497439,421.3389403,426.6846594,,,,,,,,,,,,,,205.2157651,254.4442267,282.68426,296.3831093,302.4875804,305.104566,306.2078011,,,,,,,,
マアジ,太平洋系群,田内・田中,5,0.5,2,224.3,B,39.7,106.5,224.3,404,,,,,,,,,,,,,353,0.26,-2.06,,,,,,,,,,,,,,,,
マイワシ,太平洋系群,田内・田中,6,0.4,2,47.78016648,B,19.31258464,36.41316337,47.78016648,60.03555356,84.81355838,111.4384288,,,,,,,,,,,,,,116.5030917,148.170126,166.3629011,178.830549,197.2106865,215.1559328,,,,,,,,,,
マイワシ,対馬暖流系,田内・田中,7,0.4,2,73.27514576,B,29.03985467,47.36462652,73.27514576,92.65387085,109.4803555,121.3571938,,,,,,,,,,,214.6,0.59,-1.18,136.9384236,159.9066667,183.6247974,197.8024862,208.5463918,215.4666667,,,,,,,,,,
マサバ,太平洋系群,田内・田中,6,0.4,4,400,B,69.7,142.2,225.9,323.7,400,475.3,597.7,,,,,,,,,,368.3,0.35,-1.77,185,240,281,300,321,339,373,,,,,,,,,
マサバ,対馬暖流系群,田内・田中,6,0.4,2,369.0817591,B,,219.6131692,369.0817591,502.8254972,611.6421295,694.3069953,,,,,,,,,,,406,0.372,-1.68,,256,303,335,357,372,,,,,,,,,,
マダラ,北海道太平洋,田内・田中,10,0.25,5,,B,,,,,,,,,,,,,,,,,966,0.259,0.067,,,400,530,630,710,760,,,,,,,,,
マダラ,本州太平洋北部系群,田内・田中,7,0.357,5,5712,B,34,605,1762,3777,5712,7690,,,,,,,,,,,1255.2,0.16,-0.036,,138,348,491,622,703,787,,,,,,,,,
マダラ,本州日本海北部系群,田内・田中,9,0.28,5,2775.546575,B,,,1000.611712,1840.507138,2775.546575,3715.142631,4600.243468,5398.516009,,,,,,,,,893.007,0.2281193,-0.1344811,,,,428.5289723,523.2688864,598.6846327,658.7177756,706.5059155,744.5466745,,,,,,,
ムシガレイ,日本海南西部,田内・田中,7,0.35,2,38.705,M,,9.137,38.705,84.639,137.313,188.947,235.103,274.021,,,,,,,,,334,0.303,-0.38,,114.138,171.61,214.059,245.412,268.569,285.672,298.305,,,,,,,,
ムシガレイ,日本海南西部,田内・田中,7,0.35,3,83.904,F,,8.829,35.553,83.904,151.874,234.858,327.545,424.978,,,,,,,,,387,0.158,-0.61,,109.382,164.571,211.694,251.93,286.285,315.62,340.667,,,,,,,,
ヤナギムシガレイ,太平洋北部,田内・田中,10,0.25,3,116.1247458,F,,8.12053424,47.80968091,116.1247458,197.6541368,279.205367,353.0074259,415.7731636,467.0209562,507.7203676,539.424055,,,,,,337.7,0.3,-0.042,,90.65408067,154.6799939,202.111557,237.2497232,263.2807169,282.5649514,296.8510637,307.434476,315.2748606,321.0831604,,,,,
ヤナギムシガレイ,太平洋北部,田内・田中,10,0.25,2,38.3,M,,14.2,38.3,71.2,108.6,147,183.8,,,,,,,,,,305.1,0.22,-0.948,,101,146,177,202,223,239,,,,,,,,,
カタクチイワシ,太平洋系群,他の推定式等,4,1.9,1,9.661832267,B,4.700681177,9.661832267,17.69152933,23.26219128,,,,,,,,,,,,,170,0.67,-0.005,77.10652738,98.01912211,119.898114,131.3440514,,,,,,,,,,,,
スケトウダラ,太平洋系群,他の推定式等,,0.25,5,537,B,42,119,227,371,470,537,604,668,721,781,973,,,,,,,,,,180,270,340,390,440,470,500,520,540,550,,,,,
スケトウダラ,日本海北部,他の推定式等,,0.25,5,425,B,,13,134,229,326,425,485,545,570,578,688,,,,,,,,,,127,278,330,367,397,419,433,442,447,470,,,,,
スルメイカ,秋季発生系群,他の推定式等,1,0.6,1,280,B,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
スルメイカ,冬季発生系群,他の推定式等,1,0.6,1,280,B,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
カタクチイワシ,対馬暖流系群,不明,2,1,1,7.21,B,1.73,7.21,7.21,24.74,,,,,,,,,,,,,,,,89.16847749,121.6834293,140.2777076,,,,,,,,,,,,,
ウルメイワシ,対馬暖流系群,文献から,3,0.7,1,42.96,B,,42.96,145.1,,,,,,,,,,,,,,143.96,0.15,-0.44,,167,221,,,,,,,,,,,,,
カタクチイワシ,瀬戸内海系群,文献から,2,2,1,8.7,B,3,8.7,18.8,,,,,,,,,,,,,,,,,69,95,120,,,,,,,,,,,,,
サワラ,瀬戸内海系群,文献から,8,0.3,2,3849,1,1199,3849,6433,8365,9650,10455,,,,,,,,,,,804,0.908,-0.105,,447,660,746,781,795,800,,,,,,,,,
サワラ,瀬戸内海系群,文献から,8,0.3,2,2243,2,727,2243,3464,4242,4703,4970,,,,,,,,,,,1011,0.518,-0.222,,474,691,820,898,943,971,,,,,,,,,
ヒラメ,日本海北部,文献から,12,0.2,3,834.225,M,,335.684,565.109,834.225,1127.281,1430.329,1732.13,2024.29,2300.995,2558.587,2795.109,3009.879,3203.134,,,,717.705,0.153,-2.944,428.579,469.585,504.775,534.975,560.891,583.132,602.218,618.597,632.653,644.716,,,,,,
ヒラメ,日本海北部,文献から,12,0.2,3,1270.108,F,,278.755,693.498,1270.108,1955.644,2696.668,3448.667,4178.736,4864.963,5494.503,6061.376,6564.45,7005.806,,,,898.038,0.181,-1.311,486.899,555.049,611.902,659.331,698.899,731.908,759.446,782.418,801.583,817.572,,,,,,
マアジ,対馬暖流系群,文献から,5,0.5,2,172,B,17.6,78.5,172,278.3,383.6,479.3,,,,,,,,,,,401,0.275,1.149,109,179,232,273,304,327,,,,,,,,,,
マダイ,瀬戸内海中・西部系群,文献から,20,0.17,4,586,B,,38,151,339,586,873,1179,,,,,,,,,,781.4,0.1423,-0.35,39,123,194,254,305,349,385,,,,,,,,,
マダイ,瀬戸内海東部系群,文献から,20,0.17,4,1053,B,,75,280,615,1053,1558,2098,,,,,,,,,,781.4,0.1423,-0.35,,150,230,300,360,420,460,,,,,,,,,
マダイ,日本海西部・東シナ海系群,文献から,20,0.17,4,957,B,,62,243,549,957,1436,1960,2502,3044,3571,4073,,,,,,781.4,0.1423,-0.35,38,136.6,222.1,296.3,360.6,416.4,464.8,506.8,543.3,574.8,602.2,,,,,
ズワイガニ,太平洋北部,他の推定式等,,0.308731677,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
